success_index,success_time
0,8.3
1,7.800000000000001
2,11.700000000000001
3,6.550000000000001
4,6.3500000000000005
5,5.65
6,10.05
7,10.15
8,8.8
9,9.9
10,7.550000000000001
11,9.05
12,8.700000000000001
13,8.05
14,9.5
15,14.0
16,5.65
17,6.3500000000000005
18,6.4
19,6.25
20,8.4
21,6.1000000000000005
22,7.95
24,6.4
25,11.0
26,6.1000000000000005
27,9.0
28,8.6
29,7.15
30,6.3500000000000005
31,10.200000000000001
32,15.3
33,10.8
34,6.95
35,6.300000000000001
36,8.950000000000001
37,4.45
38,9.700000000000001
39,7.1000000000000005
40,6.550000000000001
41,7.0
42,7.65
43,10.100000000000001
44,6.95
45,7.15
47,15.75
48,7.6000000000000005
49,4.7
50,6.0
51,6.6000000000000005
52,6.2
54,7.0
55,4.7
56,6.800000000000001
57,8.05
58,10.3
59,4.95
60,10.850000000000001
62,7.15
63,9.55
64,5.300000000000001
65,8.35
66,6.5
67,8.0
68,6.6000000000000005
69,7.1000000000000005
70,7.7
71,6.3500000000000005
72,6.2
73,6.75
74,7.75
75,6.9
76,12.15
77,10.700000000000001
78,6.550000000000001
79,8.9
80,12.850000000000001
81,8.450000000000001
82,6.0
83,9.0
84,7.800000000000001
85,8.5
86,12.15
87,6.7
88,6.550000000000001
89,5.8500000000000005
90,5.9
91,8.35
92,9.55
93,9.0
94,7.2
95,5.95
96,7.3500000000000005
97,6.15
98,13.55
99,8.8
